ID_ORDER,DTE_ORDER,ID_CUSTOMER,ID_PART,QTY_ORDERED,AMT_TOTAL,REF_PAYMENT_METHOD,DTE_DELIVERY_EST,DES_ORDER_NOTE,CAT_ORDER_TYPE,TYP_CUSTOMER_SEGMENT,REF_DISCOUNT_CODE,QTY_UNITS_BACKORDER,TST_INSERTION,AUD_USR_INSERT
ORD00164,2025-06-20,CUST914,PART1781,null,4004.31,CASH,2025-07-18,,STORE,B2C,SUMMER20,N/A,2024-10-17T12:56:27,johnstonlouis
ORD00165,2024-10-11,CUST750,PART1323,null,ERROR,TRANSFER,2025-07-18,,,VIP,BLACKFRIDAY,2,2024-11-27T21:00:41,amyirwin
ORD00166,2025-06-23,CUST875,PART1893,X,2527.22,CASH,,I customer onto nature collection end.,ONLINE,B2B,SUMMER20,1,2025-02-25T13:42:34,hthomas
ORD00167,2024-07-23,CUST407,PART1555,X,ERROR,,2025-07-02,,PHONE,REGULAR,,0,2025-05-21T04:31:35,jessica94
ORD00168,2024-07-20,CUST665,PART1458,7,2506.12,,2025-06-29,World find voice world seek child.,MARKETPLACE,REGULAR,SUMMER20,0,2025-06-01T03:38:36,wrodriguez
ORD00169,2025-01-19,CUST703,PART1909,8,2022.5,CARD,2025-07-09,Around yourself number happen message bag.,MARKETPLACE,B2B,INVALID,1,2025-04-28T10:21:01,zwilliams
ORD00170,2025-04-09,CUST284,PART1829,6,1917.52,CARD,2025-06-26,,STORE,,INVALID,3,2025-05-27T17:59:00,millervirginia
ORD00171,2024-11-19,CUST192,PART1457,X,3899.9,TRANSFER,2025-07-04,,MARKETPLACE,B2C,,N/A,2025-06-02T18:44:14,goodalexis
ORD00172,2025-02-24,CUST273,PART1720,X,171.78,,2025-07-22,,STORE,,BLACKFRIDAY,2,2025-06-06T10:49:27,speterson
ORD00173,2025-05-22,CUST351,PART1642,-3,1369.53,CASH,2025-07-02,Detail number specific water task expect.,MARKETPLACE,VIP,BLACKFRIDAY,,2025-01-22T12:19:34,nwatson
ORD00174,2025-05-15,CUST189,PART1430,9,4663.35,CRYPTO,2025-06-24,Our bank agreement despite Democrat north.,MARKETPLACE,,BLACKFRIDAY,3,2025-06-24T01:14:36,iwheeler
ORD00175,2025-02-06,CUST687,PART1321,-3,ERROR,,,Build role participant its shake move.,,,,1,2025-03-21T13:00:46,scottclarke
ORD00176,2025-01-26,CUST111,PART1537,-3,ERROR,,2025-07-04,Table include fund sport argue research should.,ONLINE,REGULAR,BLACKFRIDAY,3,2024-11-15T04:23:55,stacy59
ORD00177,2024-07-25,CUST720,PART1838,X,,CASH,2025-06-29,Audience friend form fine.,ONLINE,VIP,,1,2024-08-12T20:02:09,jason35
ORD00178,2024-07-10,CUST527,PART1557,-3,3805.12,TRANSFER,2025-07-09,,MARKETPLACE,B2B,BLACKFRIDAY,0,2024-10-19T04:52:02,sullivankatie
ORD00179,2025-06-07,CUST951,PART1701,-3,2290.21,TRANSFER,2025-07-09,According road think management so.,ONLINE,,BLACKFRIDAY,0,2024-09-25T12:28:02,palmerwilliam
ORD00180,2025-04-12,CUST140,ERROR,X,806.35,CRYPTO,2025-06-28,Key kid policy near.,PHONE,VIP,SUMMER20,2,2024-08-21T20:07:46,alyssamurphy
ORD00181,2024-10-19,CUST508,PART1215,X,,CASH,2025-07-21,Door trip get level assume.,PHONE,VIP,,,2024-10-04T17:44:07,eatonruben
ORD00182,2024-09-17,,PART1067,X,1351.31,,,Brother attention establish specific.,ONLINE,B2C,,1,2025-06-22T02:05:18,william70
ORD00183,2024-10-11,CUST450,PART1066,null,2476.86,TRANSFER,2025-07-17,,STORE,B2B,,1,2025-06-13T22:51:32,amandacarroll
ORD00184,2024-12-31,CUST153,PART1616,3,ERROR,CRYPTO,2025-07-17,Make reach let determine. Include after wall.,ONLINE,REGULAR,,0,2025-04-08T07:02:42,rebeccawolfe
ORD00185,2025-06-18,CUST469,PART1594,null,4697.59,CASH,2025-06-27,Religious color wife only party across practice.,PHONE,VIP,,0,2024-10-17T09:59:07,brandyvelasquez
ORD00186,2024-08-02,CUST289,PART1522,6,,,2025-07-16,,,VIP,,,2024-07-09T05:11:31,kcollins
ORD00187,2024-07-08,CUST956,PART1780,-3,,,2025-07-03,,MARKETPLACE,,SUMMER20,,2024-10-02T00:16:58,margaret29
ORD00188,2024-11-01,CUST140,PART1399,-3,3591.75,TRANSFER,2025-07-19,Style military single bad federal manage join.,STORE,B2C,INVALID,3,2024-11-06T07:03:44,vtorres
ORD00189,2024-10-13,,PART1846,null,ERROR,CASH,2025-06-24,,STORE,REGULAR,,1,2025-03-26T22:48:53,hernandezlaura
ORD00190,2024-07-27,CUST176,PART1517,null,754.15,CRYPTO,2025-06-29,,,,INVALID,1,2024-08-28T16:41:42,rioskendra
ORD00191,2025-05-26,,PART1524,X,2589.72,CRYPTO,,Manager most unit food model culture director.,MARKETPLACE,B2C,SUMMER20,0,2024-12-15T02:37:44,cberry
ORD00192,2024-07-17,CUST688,PART1210,X,,CASH,,,,VIP,INVALID,3,2025-01-16T01:59:33,clarencejohnston
ORD00193,2025-04-19,CUST479,PART1881,X,ERROR,TRANSFER,2025-07-15,Green today both low explain. Theory my security.,ONLINE,B2B,,N/A,2024-08-07T17:09:04,lisaevans
ORD00194,2025-01-17,CUST651,PART1017,-3,4677.81,,2025-07-01,Try yeah itself example.,,,,2,2025-01-28T08:40:39,usmith
ORD00195,2025-04-01,CUST237,PART1408,X,83.71,,2025-07-09,Mind face manage begin do tonight he.,ONLINE,B2B,BLACKFRIDAY,,2025-03-23T07:04:45,matthew91
ORD00196,2025-05-19,CUST956,PART1243,X,4239.05,CRYPTO,2025-07-10,To pick about.,ONLINE,B2B,BLACKFRIDAY,2,2025-04-16T16:47:57,gabriellafrederick
ORD00197,2024-08-31,CUST188,PART1697,null,1332.18,,2025-07-18,,STORE,,SUMMER20,N/A,2025-06-17T21:43:13,beasleyluis
ORD00198,2025-04-23,CUST327,PART1117,X,2007.71,CARD,2025-06-24,Thousand check training hope second worry others.,ONLINE,VIP,,0,2024-12-20T08:07:07,douglasgardner
ORD00199,2025-06-04,CUST105,PART1805,-3,4830.87,CASH,2025-07-18,Ever nation this rich.,STORE,REGULAR,BLACKFRIDAY,0,2024-11-13T02:05:18,xtaylor
ORD00200,2025-05-17,CUST529,PART1028,-3,ERROR,CASH,2025-07-19,Push another return name.,,,SUMMER20,1,2025-05-02T05:02:56,cummingsjacob
ORD00201,2024-12-03,CUST641,PART1341,X,435.49,CARD,2025-07-11,,,B2B,BLACKFRIDAY,,2024-12-04T14:36:53,bushjanice
ORD00202,2025-06-15,CUST597,PART1560,X,3648.81,CASH,2025-07-22,Color pull film trouble car.,PHONE,B2B,,0,2025-03-10T23:59:31,ghunt
ORD00203,2025-05-04,CUST428,PART1559,-3,2189.54,TRANSFER,2025-07-10,Example trouble know them and.,PHONE,,BLACKFRIDAY,,2024-12-07T14:38:31,rodriguezjulie
ORD00204,2024-07-01,CUST509,PART1950,null,1312.73,TRANSFER,2025-07-10,,PHONE,B2C,INVALID,0,2025-05-19T17:12:16,santosjesse
ORD00205,2025-05-08,CUST801,PART1808,X,,CRYPTO,2025-06-30,,STORE,B2B,,1,2024-11-28T13:31:48,skelley
ORD00206,INVALID_DATE,CUST950,PART1659,null,4208.17,TRANSFER,2025-07-07,Just purpose among yes role speech push.,PHONE,REGULAR,INVALID,N/A,2025-04-12T11:17:28,sandragreer
ORD00207,INVALID_DATE,CUST585,PART1671,4,690.0,TRANSFER,,Create young area administration part.,,,,3,2024-07-26T23:37:44,youngbrandon
ORD00208,2024-06-25,CUST991,PART1100,null,2470.84,CRYPTO,2025-07-23,Effort one mother hold say.,MARKETPLACE,REGULAR,,2,2025-03-14T19:07:10,david62
ORD00209,2024-08-14,CUST388,PART1137,3,2562.04,CARD,2025-07-18,Reveal fight blood too movie simply south.,MARKETPLACE,VIP,,,2024-09-25T10:34:02,susan25
ORD00210,2025-05-15,CUST638,PART1027,X,1916.97,CARD,2025-07-18,Ten especially institution.,ONLINE,,SUMMER20,2,2024-09-09T16:56:12,hunter55
ORD00211,2025-02-05,CUST462,PART1500,X,4913.03,CRYPTO,2025-06-24,Teacher talk cultural mean enter.,ONLINE,B2C,,N/A,2024-10-25T01:43:14,gary22
ORD00212,2025-02-27,,ERROR,null,3124.73,TRANSFER,2025-06-27,,PHONE,VIP,SUMMER20,0,2024-07-30T17:28:15,davishaley
ORD00213,2025-06-08,CUST333,PART1732,null,1045.9,,,,,B2C,BLACKFRIDAY,N/A,2024-11-28T17:57:34,wigginsheidi
ORD00214,2024-11-23,CUST304,PART1988,2,281.28,CRYPTO,2025-07-09,Financial move feeling training film similar.,STORE,REGULAR,SUMMER20,0,2024-07-23T20:30:16,yclay
ORD00215,INVALID_DATE,CUST192,PART1894,-3,4427.54,,2025-06-28,,STORE,B2B,,0,2024-12-23T17:26:17,gonzalezalexa
ORD00216,2024-07-13,CUST535,PART1465,-3,ERROR,TRANSFER,2025-07-01,,ONLINE,REGULAR,SUMMER20,1,2025-05-05T01:58:08,tkaufman
ORD00217,2024-10-25,CUST977,PART1224,null,4961.61,CASH,2025-07-17,,ONLINE,B2B,SUMMER20,0,2024-12-28T13:16:18,joseph56
ORD00218,2025-05-23,CUST213,PART1150,null,4343.32,CRYPTO,2025-07-15,,PHONE,B2C,,,2025-04-27T08:23:01,cobbsamantha
ORD00219,2024-12-11,CUST988,PART1147,4,65.43,,2025-06-30,,,VIP,,1,2024-08-04T01:10:51,shafferjesus
ORD00220,2024-12-22,CUST905,PART1621,10,4156.93,TRANSFER,2025-07-22,Force water very.,STORE,B2C,,2,2025-05-30T01:30:24,denisedavis
ORD00221,INVALID_DATE,CUST112,PART1229,null,3771.12,CASH,,,MARKETPLACE,VIP,,0,2024-12-24T13:15:06,bsalas
ORD00222,2024-11-19,CUST911,PART1723,X,416.61,CARD,2025-06-29,,PHONE,B2C,SUMMER20,N/A,2025-02-26T09:47:43,zallen
ORD00223,INVALID_DATE,CUST389,PART1952,2,96.81,CARD,2025-07-22,,,REGULAR,,2,2025-03-16T22:58:51,oallen
ORD00224,2025-02-13,CUST545,PART1677,-3,1052.43,CRYPTO,2025-07-03,,ONLINE,B2B,SUMMER20,0,2025-01-24T19:29:48,fitzpatrickjohn
ORD00225,2025-04-08,CUST304,PART1923,X,,TRANSFER,2025-07-10,Better important probably local majority reflect.,ONLINE,B2B,SUMMER20,,2024-07-04T22:58:45,ymendoza
ORD00226,2025-06-02,CUST498,PART1047,-3,2614.86,TRANSFER,2025-07-19,More significant hot poor often camera Democrat.,ONLINE,VIP,,0,2025-01-25T06:26:01,lguerrero
ORD00227,2024-11-21,CUST936,PART1323,X,3831.18,,2025-07-14,,ONLINE,B2C,BLACKFRIDAY,3,2024-12-16T15:45:20,ann44
ORD00228,2025-04-05,CUST866,ERROR,-3,2809.4,,2025-07-11,Media idea agent fall perform.,PHONE,VIP,BLACKFRIDAY,0,2024-09-26T22:45:27,williamscody
ORD00229,2025-03-27,CUST282,PART1471,null,2856.3,,2025-07-13,Whose great order a meet ago.,STORE,B2C,,1,2025-05-15T18:16:21,kevin68
ORD00230,2024-11-25,CUST774,PART1423,8,2953.82,,2025-07-23,,STORE,B2C,INVALID,,2025-06-02T18:01:25,ericabond
ORD00231,2025-02-26,CUST635,PART1801,null,1312.89,,2025-06-27,Board effect stay coach.,MARKETPLACE,B2B,,2,2024-10-27T03:15:51,uholden
ORD00232,2024-08-28,CUST530,PART1230,null,3660.76,CRYPTO,2025-06-30,These pretty southern. Discussion scene chance.,ONLINE,REGULAR,BLACKFRIDAY,3,2024-09-07T19:56:43,brittany18
ORD00233,2024-11-15,CUST870,PART1195,null,1182.13,CASH,2025-07-08,,,VIP,BLACKFRIDAY,0,2025-05-25T04:56:45,amberreyes
ORD00234,2024-08-28,,PART1707,null,2812.76,,,Rich there sort five step page war example.,ONLINE,,INVALID,3,2024-06-24T13:33:01,eserrano
ORD00235,2025-02-06,CUST313,PART1819,null,4415.87,CARD,2025-07-22,Pressure always mission month down response side.,STORE,B2B,BLACKFRIDAY,N/A,2025-05-31T11:16:27,roger66
ORD00236,2025-01-04,CUST718,PART1241,null,2056.02,CARD,2025-06-29,Rest religious society hand.,,,BLACKFRIDAY,,2025-06-12T15:14:37,josephrodriguez
ORD00237,2024-12-28,CUST738,PART1784,-3,300.35,,2025-06-29,,ONLINE,REGULAR,SUMMER20,3,2024-12-31T10:15:12,ycherry
ORD00238,2024-09-24,CUST938,PART1824,null,3648.99,CASH,2025-07-14,,MARKETPLACE,,,,2024-08-11T15:58:17,kurtrobinson
ORD00239,2024-08-25,CUST538,PART1900,X,,,2025-07-07,To job term return certain money.,ONLINE,REGULAR,INVALID,3,2024-07-18T14:21:03,shawngonzalez
ORD00240,2025-05-09,CUST584,PART1330,-3,4042.99,CARD,2025-07-16,White news understand make.,,B2B,,N/A,2024-12-19T21:48:49,markflowers
ORD00241,2025-03-17,CUST448,PART1647,5,2562.45,CRYPTO,2025-06-26,Bag yeah believe fear.,STORE,B2B,,N/A,2024-11-18T06:30:59,johnny43
ORD00242,2025-04-19,CUST663,ERROR,-3,4077.17,,2025-07-21,,,VIP,BLACKFRIDAY,1,2024-12-21T06:09:56,bcochran
ORD00243,2025-05-29,CUST188,PART1325,X,3855.71,,2025-07-14,,,REGULAR,INVALID,1,2024-07-27T01:56:55,dukesarah
ORD00244,2024-09-15,CUST606,PART1926,X,1672.01,TRANSFER,2025-07-16,Himself thing attorney response hope agree.,,REGULAR,SUMMER20,0,2024-12-20T22:28:50,geraldbowers
ORD00245,2025-03-18,CUST678,ERROR,-3,763.26,CASH,2025-06-27,,ONLINE,VIP,SUMMER20,2,2024-06-26T01:03:31,knoxjoshua
ORD00246,2025-05-13,CUST406,PART1095,null,1850.45,CARD,2025-07-11,Truth writer not send.,PHONE,REGULAR,,,2024-11-19T07:43:11,watsoncarolyn
ORD00247,2025-02-06,CUST142,PART1632,X,3318.89,,,Wrong reality marriage national job.,MARKETPLACE,VIP,,,2024-07-20T16:04:07,christineramirez
ORD00248,2025-03-09,CUST393,PART1898,X,4365.74,CRYPTO,2025-07-11,Technology mention end involve.,STORE,REGULAR,,,2024-08-30T17:16:17,watkinsvirginia
ORD00249,2025-05-04,CUST555,PART1528,2,4533.04,TRANSFER,2025-07-19,,ONLINE,REGULAR,SUMMER20,3,2024-09-23T22:34:15,icalderon
ORD00250,2024-12-14,CUST890,PART1841,X,4507.33,CASH,2025-07-02,Hair per popular explain type ready language bed.,STORE,B2C,INVALID,0,2024-10-20T07:36:29,johnsmith
ORD00251,2025-05-30,CUST887,PART1045,10,571.7,CASH,2025-07-08,,STORE,B2B,,1,2024-11-01T07:56:17,daviseugene
ORD00252,2024-08-13,CUST324,PART1521,8,1242.44,CRYPTO,2025-07-04,Happen go others treat.,ONLINE,B2B,BLACKFRIDAY,N/A,2025-05-09T17:08:54,devin17
ORD00253,2025-04-25,CUST538,PART1107,-3,2195.21,CASH,2025-07-22,Hit star enjoy.,,B2B,INVALID,1,2025-02-03T07:54:57,dawn72
ORD00254,2025-01-16,CUST915,PART1318,X,1727.38,CARD,2025-07-05,Character fire store itself happen well same.,ONLINE,REGULAR,INVALID,0,2024-10-01T09:02:58,jessicamiller
ORD00255,2024-08-02,CUST943,PART1909,7,1504.17,CARD,2025-07-03,Best this beautiful. Charge money pick.,,B2B,SUMMER20,2,2024-07-26T02:06:08,colemanbrendan
ORD00256,2025-05-21,CUST361,PART1052,-3,2123.58,CRYPTO,2025-07-13,War allow base prepare guy exactly later.,PHONE,,BLACKFRIDAY,1,2024-07-01T23:39:42,thorntonwilliam
ORD00257,2025-02-18,CUST879,PART1718,8,3202.91,CRYPTO,2025-06-30,Shake doctor image number beyond information.,,,SUMMER20,N/A,2025-04-03T09:29:29,isaiahjohnson
ORD00258,2024-07-27,CUST269,PART1156,-3,3061.84,TRANSFER,,Campaign sense together tough write board.,MARKETPLACE,REGULAR,INVALID,2,2024-09-06T10:42:58,asandoval
ORD00259,2024-10-25,CUST400,PART1663,1,1633.26,CARD,2025-06-29,Hot center everybody all green source.,,VIP,SUMMER20,N/A,2024-09-16T08:38:15,bobby95
ORD00260,INVALID_DATE,CUST478,PART1871,1,2408.56,CASH,2025-07-20,,MARKETPLACE,B2C,,3,2024-12-17T15:59:29,shester
ORD00261,INVALID_DATE,CUST487,ERROR,X,1418.02,,2025-07-07,Own hold clearly last happen.,ONLINE,VIP,INVALID,2,2025-04-24T19:26:02,rodney74
ORD00262,2024-11-06,CUST240,PART1454,7,2882.71,,,,,,SUMMER20,1,2024-09-30T21:54:06,millermaria
ORD00263,2024-08-15,CUST681,PART1642,1,415.16,,2025-07-23,Movie enough read. Prove item guess.,MARKETPLACE,B2B,SUMMER20,N/A,2024-12-31T23:10:53,thomasgarcia
ORD00264,2024-11-17,,PART1838,null,1019.32,CASH,2025-06-26,None special leg catch all. Lose only may.,MARKETPLACE,B2C,BLACKFRIDAY,1,2024-08-11T09:55:57,terryelizabeth
ORD00265,2025-02-07,CUST277,PART1546,X,1625.44,TRANSFER,,Bar edge thousand whom for glass avoid.,ONLINE,,,2,2024-06-29T10:45:31,michaellee
ORD00266,2025-03-01,CUST544,PART1761,null,3940.71,CRYPTO,2025-07-12,,MARKETPLACE,VIP,,2,2025-04-26T07:01:10,janet93
ORD00267,2024-10-30,CUST372,ERROR,null,3149.97,CRYPTO,2025-07-13,,ONLINE,B2C,BLACKFRIDAY,1,2024-07-02T20:12:52,woodslinda
ORD00268,2024-07-14,CUST112,PART1899,X,3506.1,CARD,,Respond hand these we thousand.,,B2C,,0,2025-03-02T23:27:01,williamsallen
ORD00269,2025-05-02,CUST103,PART1632,-3,2696.5,CASH,2025-07-17,Run western ask bank pick. Agree know hot.,ONLINE,B2C,BLACKFRIDAY,0,2025-06-07T16:55:37,seth84
ORD00270,INVALID_DATE,CUST332,PART1054,X,1396.64,,2025-07-15,,STORE,B2C,BLACKFRIDAY,3,2024-11-29T08:50:40,gregpeters
ORD00271,2024-08-19,CUST445,PART1145,null,340.56,CASH,2025-06-25,Mr again stage cost.,,B2B,,2,2024-11-19T03:45:12,danielbaker
ORD00272,2024-08-17,CUST420,PART1996,X,4854.25,CASH,,Raise whose event quite.,PHONE,REGULAR,INVALID,0,2024-10-17T18:15:35,sweeneyjeffrey
ORD00273,2024-10-22,CUST374,PART1796,-3,4438.87,CASH,,,,REGULAR,SUMMER20,0,2024-09-12T15:42:45,holly15
ORD00274,INVALID_DATE,CUST500,PART1365,null,2154.14,,2025-07-17,Democrat box act city offer today woman.,PHONE,B2C,INVALID,0,2024-10-09T08:34:34,zflynn
ORD00275,2024-07-06,CUST340,PART1298,8,619.1,,2025-07-08,Somebody decide create short their dream.,PHONE,REGULAR,,2,2025-03-22T03:08:00,mark56
ORD00276,2025-02-20,CUST704,PART1999,null,606.73,CRYPTO,,,,,,3,2025-05-24T18:33:46,jonathan28
ORD00277,INVALID_DATE,CUST955,PART1829,null,2475.24,,2025-07-09,Work minute assume into goal stage scene.,STORE,B2C,INVALID,0,2025-05-04T23:21:09,cynthiawilson
ORD00278,2024-09-04,CUST695,PART1936,-3,1135.62,TRANSFER,2025-07-23,,ONLINE,,,0,2024-10-31T03:46:05,howellsamuel
ORD00279,2024-08-13,CUST588,PART1237,X,1790.85,TRANSFER,2025-07-22,Again treat north show laugh board.,MARKETPLACE,VIP,SUMMER20,0,2024-09-14T20:04:47,christophervaughan
ORD00280,INVALID_DATE,CUST368,PART1433,X,3842.17,CRYPTO,2025-06-27,,ONLINE,B2C,INVALID,N/A,2025-05-08T02:59:43,bobby41
ORD00281,2024-07-27,CUST151,PART1437,null,2190.43,CASH,2025-07-16,Else will turn year water point worry.,,REGULAR,INVALID,2,2024-07-19T04:24:54,greerbilly
ORD00282,2024-08-10,CUST966,PART1833,null,3064.66,CARD,2025-07-11,,MARKETPLACE,VIP,,0,2024-11-03T00:42:58,nancy94
ORD00283,2025-02-21,CUST520,ERROR,-3,3002.28,TRANSFER,2025-07-10,Total interview fly.,ONLINE,,INVALID,1,2025-06-04T23:28:26,mark91
ORD00284,2025-06-05,CUST400,PART1960,X,3618.68,CARD,2025-07-16,,PHONE,VIP,,0,2024-07-08T02:29:12,hillchristopher
ORD00285,2025-05-25,CUST617,PART1326,null,268.11,CRYPTO,2025-07-02,Anyone investment mind.,,,SUMMER20,1,2024-11-27T11:46:01,hollandraymond
ORD00286,2025-05-15,CUST635,PART1776,-3,1767.79,CASH,2025-07-17,The subject top protect nor word.,PHONE,REGULAR,,2,2025-05-22T03:37:05,englishashley
ORD00287,2024-10-23,CUST317,PART1677,X,934.75,CRYPTO,2025-06-24,Send power ready on item talk.,PHONE,REGULAR,,2,2024-11-15T21:33:35,vazquezjeremy
ORD00288,2025-05-26,CUST505,PART1121,X,1992.09,TRANSFER,2025-06-27,Away hope eye Republican be movie need.,PHONE,,SUMMER20,2,2025-04-19T17:40:25,xvang
ORD00289,2025-03-29,CUST184,PART1967,5,207.44,CASH,2025-07-16,Glass small product personal require.,ONLINE,REGULAR,INVALID,N/A,2024-10-28T20:11:37,james74
ORD00290,2025-01-21,CUST562,PART1463,1,1649.86,CASH,2025-07-03,National authority pressure open future.,PHONE,B2B,BLACKFRIDAY,3,2025-04-18T11:25:38,karenanthony
ORD00291,2025-01-23,CUST976,PART1164,3,3203.72,TRANSFER,,Particular else toward can something point.,STORE,,,,2025-03-23T22:03:15,allensmith
ORD00292,2024-12-24,CUST525,PART1720,null,1418.29,CRYPTO,2025-07-06,Treat name baby what into also culture.,,B2B,BLACKFRIDAY,2,2024-11-12T21:01:41,ebrowning
ORD00293,2024-12-15,CUST524,PART1678,1,,TRANSFER,2025-06-27,Production central alone.,STORE,B2B,SUMMER20,1,2024-08-27T23:24:53,patricia43
ORD00294,INVALID_DATE,CUST234,PART1106,null,3963.56,,2025-06-27,Wide campaign choose want value relate hard.,PHONE,B2C,SUMMER20,0,2025-05-24T00:14:45,iodonnell
ORD00295,INVALID_DATE,CUST497,PART1984,-3,3866.02,CRYPTO,2025-07-18,,PHONE,REGULAR,SUMMER20,N/A,2024-10-25T09:50:24,fharris
ORD00296,2024-07-28,CUST513,PART1760,2,2408.39,CRYPTO,,Again instead discover factor.,ONLINE,B2C,,3,2025-05-25T08:14:25,kgonzales
ORD00297,2025-04-03,CUST928,PART1038,-3,263.12,,2025-07-14,Color try reason could even night.,,VIP,,1,2024-12-31T03:49:08,jacqueline84
ORD00298,2025-05-16,CUST900,PART1849,X,3836.14,TRANSFER,,,STORE,VIP,,N/A,2025-05-11T02:19:12,james10
ORD00299,2025-01-01,CUST774,PART1572,null,3476.91,,2025-07-15,Itself system wonder we.,ONLINE,B2B,SUMMER20,N/A,2024-07-30T13:57:19,hrussell
ORD00300,INVALID_DATE,CUST810,PART1722,null,4026.23,CRYPTO,,Speak individual go reality charge part watch.,ONLINE,VIP,INVALID,1,2025-05-18T03:00:14,jilliandavis
ORD00301,2024-10-25,CUST481,PART1657,4,4854.72,,,Carry factor provide visit sign keep arm.,PHONE,REGULAR,,N/A,2024-09-29T00:11:59,kylemora
ORD00302,2025-03-14,CUST864,PART1841,X,3972.3,,,Difference avoid worry central law evening.,MARKETPLACE,VIP,,1,2024-10-14T01:20:39,sanderson
ORD00303,2024-11-27,CUST134,PART1179,null,1514.06,,2025-06-24,Serve back or.,ONLINE,VIP,BLACKFRIDAY,,2024-10-27T09:41:18,christopher31
ORD00304,2024-08-08,CUST252,PART1384,null,,,2025-06-27,,MARKETPLACE,REGULAR,BLACKFRIDAY,2,2024-09-14T12:13:53,vosborne
ORD00305,2024-10-08,CUST812,PART1754,X,2204.4,,2025-07-08,This style heart painting talk throw.,MARKETPLACE,,SUMMER20,3,2025-06-05T23:49:37,erichebert
ORD00306,INVALID_DATE,CUST963,PART1563,1,3976.91,TRANSFER,2025-07-18,Whose if determine benefit high maybe threat.,STORE,,INVALID,N/A,2025-02-02T03:48:07,jason04
ORD00307,INVALID_DATE,CUST895,PART1756,1,2013.22,,2025-07-07,Mind spring computer old how.,,B2B,,3,2025-03-31T00:40:22,jamiebaker
ORD00308,2024-11-19,CUST442,PART1253,1,539.55,TRANSFER,,Two idea growth stand.,,VIP,BLACKFRIDAY,1,2025-05-09T09:10:49,mary06
ORD00309,2025-03-11,,PART1816,X,1320.85,,2025-07-02,Line rule hundred late main.,STORE,B2C,INVALID,N/A,2025-05-04T13:10:55,wrightjennifer
ORD00310,2025-04-03,CUST961,PART1969,null,98.55,CASH,2025-07-23,General price outside expect road.,MARKETPLACE,VIP,,0,2024-12-12T21:39:25,caitlinhernandez
ORD00311,2025-06-05,CUST494,PART1212,9,788.12,CRYPTO,2025-07-09,Tree must that today.,PHONE,B2B,INVALID,3,2024-08-27T17:06:49,brianna99
ORD00312,2025-01-15,,PART1813,-3,3082.97,CASH,2025-06-26,Foot be board common entire feel stay.,MARKETPLACE,REGULAR,SUMMER20,3,2025-03-01T07:33:09,mirandaperkins
ORD00313,2024-07-10,CUST472,PART1482,9,4281.84,,2025-07-18,Industry city wall president.,STORE,B2C,,0,2025-01-02T16:19:07,santiagocrystal
ORD00314,2024-07-30,CUST538,PART1398,X,4126.98,CARD,,Security should material.,,B2B,,N/A,2024-12-13T02:09:40,pwilliamson
ORD00315,2024-12-21,,PART1125,-3,3508.57,CRYPTO,2025-07-17,Culture response century majority different.,ONLINE,REGULAR,,,2025-03-31T07:01:50,masseyangela
ORD00316,2024-11-30,CUST333,PART1647,-3,259.43,CASH,,Share free one popular capital several education.,MARKETPLACE,B2C,,,2024-08-30T03:18:59,nguyenamanda
ORD00317,2025-01-09,CUST554,PART1557,X,1046.93,CASH,2025-07-23,Need join nor us decide.,MARKETPLACE,REGULAR,SUMMER20,,2025-05-12T09:13:42,hatfieldwilliam
ORD00318,2025-04-21,CUST535,PART1084,10,4265.78,CASH,2025-06-24,Offer school whatever however.,ONLINE,,INVALID,,2025-02-28T10:38:17,gina22
ORD00319,2025-05-26,CUST351,PART1498,X,2875.46,CRYPTO,,,ONLINE,REGULAR,,,2025-02-03T14:45:41,matthew18
ORD00320,INVALID_DATE,CUST505,PART1954,-3,ERROR,CRYPTO,2025-07-02,Those production letter down tree.,PHONE,VIP,,3,2025-04-27T18:59:44,ayersjonathan
ORD00321,INVALID_DATE,CUST550,PART1624,null,4108.64,CASH,2025-07-22,Most growth though rest.,MARKETPLACE,REGULAR,,N/A,2025-05-31T03:16:30,nicolemartinez
ORD00322,2024-10-26,CUST122,PART1065,null,2233.35,CASH,2025-07-11,,PHONE,REGULAR,BLACKFRIDAY,,2024-12-30T04:44:49,gpayne
ORD00323,2025-01-03,CUST582,PART1344,X,3420.35,CRYPTO,2025-07-22,Stuff should we company final father why.,ONLINE,B2C,,3,2024-07-09T04:32:25,jessicagarcia
ORD00324,2024-11-09,CUST223,ERROR,null,1834.87,CRYPTO,2025-07-19,,PHONE,REGULAR,,3,2024-07-31T09:49:06,justinvillarreal
ORD00325,2024-12-17,CUST238,PART1169,3,ERROR,CARD,2025-07-08,Sure effect guess enough such.,ONLINE,B2C,BLACKFRIDAY,3,2025-01-18T21:01:26,tammy25
ORD00326,2024-09-09,CUST287,PART1680,9,4747.27,,2025-07-10,Fact moment dog show bring provide consumer.,MARKETPLACE,,,3,2025-03-24T10:40:00,sstokes
ORD00327,2025-06-21,CUST978,PART1578,X,3618.82,CRYPTO,,Special tax own we believe attention modern.,,B2C,INVALID,N/A,2024-12-08T23:02:30,imcmahon
ORD00328,2025-04-09,CUST688,PART1661,7,3252.06,TRANSFER,,Book decide make.,STORE,B2B,SUMMER20,3,2025-01-07T13:48:29,muellerlindsey
